fog1,16:51:47.556885,0
fog1,16:51:47.557508,0
fog1,16:51:47.557589,0
fog1,16:51:47.557666,0
fog1,16:51:47.557745,0
fog1,16:51:47.557799,0
fog1,16:51:47.557865,0
fog1,16:51:47.558122,0
fog1,16:51:47.558663,0
fog1,16:51:47.559027,0
fog1,16:51:49.512767,5
fog1,16:51:49.545343,7
fog1,16:51:49.569175,10
fog1,16:51:49.592965,14
fog1,16:51:49.597284,18
fog1,16:51:49.623560,21
fog1,16:51:50.482840,5
fog1,16:51:50.513805,7
fog1,16:51:50.546448,10
fog1,16:51:50.582306,12
fog1,16:51:50.585155,17
fog1,16:51:50.590914,21
fog1,16:51:50.624132,24
fog1,16:51:50.629936,29
fog1,16:51:50.632053,33
fog1,16:51:50.654552,37
fog1,16:51:51.593078,5
fog1,16:51:51.664108,5
fog1,16:51:52.485196,5
fog1,16:51:52.515918,7
fog1,16:51:52.548713,10
fog1,16:51:52.573179,13
fog1,16:51:52.607377,15
fog1,16:51:52.627232,19
fog1,16:51:52.631244,24
fog1,16:51:52.633181,29
fog1,16:51:52.641325,33
fog1,16:51:53.486363,5
fog1,16:51:53.517002,7
fog1,16:51:53.549006,10
fog1,16:51:53.582662,12
fog1,16:51:53.600517,16
fog1,16:51:53.609290,20
fog1,16:51:53.620331,25
fog1,16:51:53.621222,30
fog1,16:51:53.622271,34
fog1,16:51:53.626562,39
fog1,16:51:54.487460,5
fog1,16:51:54.518036,7
fog1,16:51:54.550124,10
fog1,16:51:54.589417,12
fog1,16:51:54.592479,17
fog1,16:51:54.607958,21
fog1,16:51:54.611333,25
fog1,16:51:54.618437,30
fog1,16:51:54.637474,33
fog1,16:51:54.659872,37
fog1,16:51:55.519177,5
fog1,16:51:55.551270,7
fog1,16:51:55.598650,9
fog1,16:51:55.607959,13
fog1,16:51:55.612616,18
fog1,16:51:55.625636,22
fog1,16:51:55.633079,26
fog1,16:51:55.639104,31
fog1,16:51:56.489992,5
fog1,16:51:56.520310,7
fog1,16:51:56.598978,6
fog1,16:51:56.617570,10
fog1,16:51:56.623728,15
fog1,16:51:56.624006,20
fog1,16:51:56.637666,24
fog1,16:51:56.648081,28
fog1,16:51:57.491132,5
fog1,16:51:57.552997,5
fog1,16:51:57.600125,6
fog1,16:51:57.608685,11
fog1,16:51:57.631158,14
fog1,16:51:57.654394,17
fog1,16:51:58.492264,5
fog1,16:51:58.522601,7
fog1,16:51:58.554221,10
fog1,16:51:58.605835,11
fog1,16:51:58.610204,16
fog1,16:51:58.617216,20
fog1,16:51:58.617673,25
fog1,16:51:58.626534,30
fog1,16:51:58.629852,34
fog1,16:51:58.636331,39
fog1,16:51:59.493259,5
fog1,16:51:59.523536,7
fog1,16:51:59.555327,10
fog1,16:51:59.582897,13
fog1,16:51:59.596309,17
fog1,16:51:59.619901,20
fog1,16:51:59.624345,25
fog1,16:51:59.634500,29
fog1,16:51:59.659263,32
fog1,16:52:00.604823,5
fog1,16:52:00.614539,9
fog1,16:52:00.634350,12
fog1,16:52:00.637500,17
fog1,16:52:00.655848,21
fog1,16:52:01.525882,5
fog1,16:52:01.557563,7
fog1,16:52:01.608516,8
fog1,16:52:01.614414,13
fog1,16:52:01.620547,18
fog1,16:52:01.624159,22
fog1,16:52:01.636448,26
fog1,16:52:02.496804,5
fog1,16:52:02.527025,7
fog1,16:52:02.558706,10
fog1,16:52:02.587522,13
fog1,16:52:02.614536,16
fog1,16:52:02.620717,20
fog1,16:52:02.624540,25
fog1,16:52:02.631968,30
fog1,16:52:02.636480,34
fog1,16:52:03.497948,5
fog1,16:52:03.559840,5
fog1,16:52:03.594628,7
fog1,16:52:03.601723,12
fog1,16:52:03.630564,15
fog1,16:52:03.636041,19
fog1,16:52:03.641809,24
fog1,16:52:04.529320,5
fog1,16:52:04.561103,7
fog1,16:52:04.620967,8
fog1,16:52:04.623617,13
fog1,16:52:04.625650,17
fog1,16:52:04.629402,22
fog1,16:52:04.630963,27
fog1,16:52:04.638163,31
fog1,16:52:04.649981,36
fog1,16:52:05.500429,5
fog1,16:52:05.530317,7
fog1,16:52:05.562168,10
fog1,16:52:05.604884,12
fog1,16:52:05.615444,16
fog1,16:52:05.615786,21
fog1,16:52:05.620059,26
fog1,16:52:05.623404,30
fog1,16:52:06.563319,5
fog1,16:52:06.604573,6
fog1,16:52:06.623904,10
fog1,16:52:06.645427,13
fog1,16:52:06.656187,18
fog1,16:52:06.668803,22
fog1,16:52:07.502720,5
fog1,16:52:07.531946,7
fog1,16:52:07.564514,10
fog1,16:52:07.589199,13
fog1,16:52:07.620357,16
fog1,16:52:07.657004,18
fog1,16:52:07.663087,23
fog1,16:52:07.668224,27
fog1,16:52:07.671641,32
fog1,16:52:08.503614,5
fog1,16:52:08.603495,5
fog1,16:52:08.613029,9
fog1,16:52:08.618857,13
fog1,16:52:08.646305,16
fog1,16:52:08.651104,21
fog1,16:52:08.678318,24
fog1,16:52:09.504789,5
fog1,16:52:09.534295,7
fog1,16:52:09.588585,8
fog1,16:52:09.615312,11
fog1,16:52:09.619129,16
fog1,16:52:09.626062,21
fog1,16:52:09.655256,23
fog1,16:52:09.656218,28
fog1,16:52:10.605762,5
fog1,16:52:10.622187,8
fog1,16:52:10.638368,12
fog1,16:52:10.647168,16
fog1,16:52:10.659520,21
fog1,16:52:11.507069,5
fog1,16:52:11.536624,7
fog1,16:52:11.569033,10
fog1,16:52:11.591769,13
fog1,16:52:11.609421,17
fog1,16:52:11.616920,21
fog1,16:52:11.629117,25
fog1,16:52:11.642766,29
fog1,16:52:11.659208,33
fog1,16:52:12.508232,5
fog1,16:52:12.537645,7
fog1,16:52:12.570104,10
fog1,16:52:12.596450,13
fog1,16:52:12.608057,17
fog1,16:52:12.625565,21
fog1,16:52:12.633228,25
fog1,16:52:12.638621,30
fog1,16:52:12.656353,34
fog1,16:52:13.509352,5
fog1,16:52:13.570386,5
fog1,16:52:13.615102,7
fog1,16:52:13.622541,11
fog1,16:52:13.623751,16
fog1,16:52:13.636480,20
fog1,16:52:13.653799,24
fog1,16:52:14.510517,5
fog1,16:52:14.539852,7
fog1,16:52:14.570508,10
fog1,16:52:14.625183,11
fog1,16:52:14.627579,16
fog1,16:52:14.628492,21
fog1,16:52:14.633655,25
fog1,16:52:14.646998,29
fog1,16:52:14.652749,34
fog1,16:52:15.540864,5
fog1,16:52:15.571857,7
fog1,16:52:15.607920,10
fog1,16:52:15.616187,14
fog1,16:52:15.644357,17
fog1,16:52:15.646062,22
fog1,16:52:15.649206,26
fog1,16:52:15.659219,31
fog1,16:52:16.512790,5
fog1,16:52:16.572993,5
fog1,16:52:16.604114,8
fog1,16:52:16.604623,13
fog1,16:52:16.629109,16
fog1,16:52:16.637311,20
fog1,16:52:16.660268,24
fog1,16:52:16.682997,27
fog1,16:52:17.514029,5
fog1,16:52:17.541784,7
fog1,16:52:17.595035,9
fog1,16:52:17.637496,10
fog1,16:52:17.651532,14
fog1,16:52:17.654223,19
fog1,16:52:17.696064,21
fog1,16:52:18.515240,5
fog1,16:52:18.542893,7
fog1,16:52:18.575149,10
fog1,16:52:18.605447,13
fog1,16:52:18.627358,16
fog1,16:52:18.636716,21
fog1,16:52:18.660132,24
fog1,16:52:18.664386,29
fog1,16:52:19.515208,5
fog1,16:52:19.543460,7
fog1,16:52:19.575105,10
fog1,16:52:19.631285,11
fog1,16:52:19.637061,15
fog1,16:52:19.638175,20
fog1,16:52:19.659941,24
fog1,16:52:19.666129,28
fog1,16:52:19.679026,32
fog1,16:52:20.575921,5
fog1,16:52:20.635898,5
fog1,16:52:20.637592,10
fog1,16:52:20.642167,15
fog1,16:52:20.662393,18
fog1,16:52:20.665266,23
fog1,16:52:20.667234,28
fog1,16:52:20.668076,33
fog1,16:52:21.517636,5
fog1,16:52:21.545110,7
fog1,16:52:21.577805,10
fog1,16:52:21.627369,11
fog1,16:52:21.628378,16
fog1,16:52:21.634431,21
fog1,16:52:21.637061,26
fog1,16:52:21.639232,31
fog1,16:52:21.645408,35
fog1,16:52:21.659440,39
fog1,16:52:22.578913,5
fog1,16:52:22.631536,6
fog1,16:52:22.632372,11
fog1,16:52:22.636393,15
fog1,16:52:22.644244,20
fog1,16:52:22.675535,22
fog1,16:52:23.520078,5
fog1,16:52:23.547351,8
fog1,16:52:23.579835,10
fog1,16:52:23.639362,11
fog1,16:52:23.642536,15
fog1,16:52:23.660529,19
fog1,16:52:23.670478,23
fog1,16:52:23.690621,27
fog1,16:52:24.598047,5
