iot4,1,16:51:50.482441,-2.0
iot4,2,16:51:51.483550,-0.65
iot4,3,16:51:52.484793,-10.0
iot4,4,16:51:53.485941,-0.87
iot4,5,16:51:54.487038,-0.76
iot4,6,16:51:55.488225,-0.56
iot4,7,16:51:56.489575,-2.0
iot4,8,16:51:57.490740,-0.57
iot4,9,16:51:58.491818,-0.72
iot4,10,16:51:59.492854,-0.95
iot4,11,16:52:00.494019,-0.88
iot4,12,16:52:01.495249,-2.0
iot4,13,16:52:02.496392,-10.0
iot4,14,16:52:03.497538,-1.01
iot4,15,16:52:04.498719,-0.68
iot4,16,16:52:05.499970,-10.0
iot4,17,16:52:06.501009,-0.58
iot4,18,16:52:07.502345,-10.0
iot4,19,16:52:08.503248,-0.89
iot4,20,16:52:09.504371,-0.74
iot4,21,16:52:10.505524,-0.91
iot4,22,16:52:11.506661,-10.0
iot4,23,16:52:12.507822,-0.97
iot4,24,16:52:13.508931,-0.8
iot4,25,16:52:14.510107,-0.93
iot4,26,16:52:15.511230,-0.54
iot4,27,16:52:16.512379,-2.0
iot4,28,16:52:17.513627,-0.81
iot4,29,16:52:18.514839,-0.64
iot4,30,16:52:19.514814,-0.55
iot4,31,16:52:20.516030,-0.97
iot4,32,16:52:21.517218,-10.0
iot4,33,16:52:22.518393,-0.84
iot4,34,16:52:23.519570,-10.0
iot4,35,16:52:24.520691,-0.88
iot4,36,16:52:25.521844,-10.0
iot4,37,16:52:26.523006,-0.84
iot4,38,16:52:27.524218,-0.74
iot4,39,16:52:28.525425,-0.55
iot4,40,16:52:29.526898,-0.55
iot4,41,16:52:30.528120,-0.78
iot4,42,16:52:31.529283,-10.0
iot4,43,16:52:32.530548,-1.12
iot4,44,16:52:33.531766,-10.0
iot4,45,16:52:34.532935,-1.08
iot4,46,16:52:35.534210,-10.0
iot4,47,16:52:36.535270,-1.18
iot4,48,16:52:37.536389,-0.65
iot4,49,16:52:38.537572,-2.0
iot4,50,16:52:39.538859,-10.0
iot3,1,16:51:50.512818,-0.85
iot3,2,16:51:51.513901,-0.72
iot3,3,16:51:52.515115,-2.0
iot3,4,16:51:53.516264,-10.0
iot3,5,16:51:54.517469,-0.66
iot3,6,16:51:55.518527,-0.9
iot3,7,16:51:56.519581,-0.89
iot3,8,16:51:57.520694,-0.79
iot3,9,16:51:58.521811,-10.0
iot3,10,16:51:59.522937,-0.88
iot3,11,16:52:00.524209,-10.0
iot3,12,16:52:01.524805,-10.0
iot3,13,16:52:02.525966,-10.0
iot3,14,16:52:03.527207,-0.61
iot3,15,16:52:04.528314,-0.67
iot3,16,16:52:05.529384,-0.97
iot3,17,16:52:06.530458,-0.75
iot3,18,16:52:07.531570,-0.93
iot3,19,16:52:08.532910,-10.0
iot3,20,16:52:09.534002,-1.13
iot3,21,16:52:10.535082,-0.81
iot3,22,16:52:11.536187,-0.7
iot3,23,16:52:12.536870,-0.55
iot3,24,16:52:13.537272,-0.59
iot3,25,16:52:14.538379,-0.86
iot3,26,16:52:15.539447,-0.95
iot3,27,16:52:16.540583,-0.68
iot3,28,16:52:17.541074,-0.63
iot3,29,16:52:18.542309,-10.0
iot3,30,16:52:19.541622,-0.94
iot3,31,16:52:20.543300,-10.0
iot3,32,16:52:21.543690,-0.92
iot3,33,16:52:22.544864,-0.93
iot3,34,16:52:23.545960,-0.99
iot3,35,16:52:24.547109,-2.0
iot3,36,16:52:25.548216,-0.61
iot3,37,16:52:26.549402,-2.0
iot3,38,16:52:27.550626,-0.57
iot3,39,16:52:28.551778,-10.0
iot3,40,16:52:29.552801,-0.65
iot3,41,16:52:30.553846,-0.88
iot3,42,16:52:31.554914,-0.78
iot3,43,16:52:32.555603,-0.51
iot3,44,16:52:33.556743,-0.51
iot3,45,16:52:34.557932,-0.55
iot3,46,16:52:35.559372,-10.0
iot3,47,16:52:36.560530,-0.75
iot3,48,16:52:37.561640,-0.51
iot3,49,16:52:38.562817,-0.77
iot3,50,16:52:39.563558,-10.0
iot5,1,16:51:50.513512,-0.87
iot5,2,16:51:51.514465,-0.59
iot5,3,16:51:52.515611,-10.0
iot5,4,16:51:53.516700,-0.86
iot5,5,16:51:54.517727,-1.22
iot5,6,16:51:55.518830,-0.64
iot5,7,16:51:56.519966,-0.58
iot5,8,16:51:57.521066,-0.55
iot5,9,16:51:58.522224,-10.0
iot5,10,16:51:59.523273,-0.88
iot5,11,16:52:00.524410,-0.55
iot5,12,16:52:01.525543,-10.0
iot5,13,16:52:02.526721,-0.79
iot5,14,16:52:03.527880,-0.99
iot5,15,16:52:04.528978,-10.0
iot5,16,16:52:05.530045,-0.61
iot5,17,16:52:06.531107,-0.52
iot5,18,16:52:07.531612,-2.0
iot5,19,16:52:08.532812,-0.68
iot5,20,16:52:09.533989,-10.0
iot5,21,16:52:10.535091,-0.76
iot5,22,16:52:11.536249,-10.0
iot5,23,16:52:12.537316,-1.03
iot5,24,16:52:13.538433,-0.57
iot5,25,16:52:14.539543,-10.0
iot5,26,16:52:15.540444,-0.93
iot5,27,16:52:16.540857,-0.55
iot5,28,16:52:17.541499,-2.0
iot5,29,16:52:18.542554,-0.55
iot5,30,16:52:19.542629,-0.64
iot5,31,16:52:20.543682,-0.81
iot5,32,16:52:21.544781,-10.0
iot5,33,16:52:22.545902,-1.07
iot5,34,16:52:23.547022,-10.0
iot5,35,16:52:24.548071,-1.22
iot5,36,16:52:25.548336,-2.0
iot5,37,16:52:26.549478,-0.56
iot5,38,16:52:27.550657,-10.0
iot5,39,16:52:28.551633,-1.23
iot5,40,16:52:29.552793,-0.74
iot5,41,16:52:30.554015,-10.0
iot5,42,16:52:31.555047,-1.25
iot5,43,16:52:32.555663,-0.87
iot5,44,16:52:33.556824,-2.0
iot5,45,16:52:34.557911,-0.91
iot5,46,16:52:35.559016,-0.72
iot5,47,16:52:36.560292,-10.0
iot5,48,16:52:37.561409,-1.06
iot5,49,16:52:38.562529,-0.99
iot5,50,16:52:39.563676,-2.0
iot6,1,16:51:50.515845,-0.54
iot6,2,16:51:51.516698,-0.66
iot6,3,16:51:52.516838,-10.0
iot6,4,16:51:53.517981,-0.56
iot6,5,16:51:54.519050,-0.82
iot6,6,16:51:55.520153,-0.7
iot6,7,16:51:56.521282,-10.0
iot6,8,16:51:57.522279,-1.16
iot6,9,16:51:58.523356,-0.86
iot6,10,16:51:59.523584,-0.82
iot6,11,16:52:00.524306,-0.59
