0,16:51:49.481416,local::1::5,iot4
1,16:51:50.482573,fog::1::5,iot4
2,16:51:51.483708,local::1::5,iot4
3,16:51:52.484919,fog::1::5,iot4
4,16:51:53.486075,fog::1::5,iot4
5,16:51:54.487165,fog::1::5,iot4
6,16:51:55.488395,local::1::5,iot4
7,16:51:56.489704,fog::1::5,iot4
8,16:51:57.490883,fog::1::5,iot4
9,16:51:58.491956,fog::1::5,iot4
10,16:51:59.492982,fog::1::5,iot4
11,16:52:00.494164,local::1::5,iot4
12,16:52:01.495399,local::1::5,iot4
13,16:52:02.496516,fog::1::5,iot4
14,16:52:03.497665,fog::1::5,iot4
15,16:52:04.498864,local::1::5,iot4
16,16:52:05.500097,fog::1::5,iot4
17,16:52:06.501153,local::1::5,iot4
18,16:52:07.502472,fog::1::5,iot4
19,16:52:08.503386,fog::1::5,iot4
20,16:52:09.504502,fog::1::5,iot4
21,16:52:10.505672,local::1::5,iot4
22,16:52:11.506794,fog::1::5,iot4
23,16:52:12.507950,fog::1::5,iot4
24,16:52:13.509056,fog::1::5,iot4
25,16:52:14.510236,fog::1::5,iot4
26,16:52:15.511383,local::1::5,iot4
27,16:52:16.512517,fog::1::5,iot4
28,16:52:17.513780,fog::1::5,iot4
29,16:52:18.514973,fog::1::5,iot4
30,16:52:19.514942,fog::1::5,iot4
31,16:52:20.516183,local::1::5,iot4
32,16:52:21.517350,fog::1::5,iot4
33,16:52:22.518540,local::1::5,iot4
34,16:52:23.519697,fog::1::5,iot4
35,16:52:24.520838,local::1::5,iot4
36,16:52:25.521975,fog::1::5,iot4
37,16:52:26.523138,fog::1::5,iot4
38,16:52:27.524356,fog::1::5,iot4
39,16:52:28.525553,fog::1::5,iot4
40,16:52:29.527028,fog::1::5,iot4
41,16:52:30.528268,local::1::5,iot4
42,16:52:31.529414,fog::1::5,iot4
43,16:52:32.530748,local::1::5,iot4
44,16:52:33.531894,fog::1::5,iot4
45,16:52:34.533081,local::1::5,iot4
46,16:52:35.534336,fog::1::5,iot4
47,16:52:36.535406,fog::1::5,iot4
48,16:52:37.536538,local::1::5,iot4
49,16:52:38.537725,local::1::5,iot4
0,16:51:49.512042,fog::1::5,iot3
1,16:51:50.512946,fog::1::5,iot3
2,16:51:51.514040,local::1::5,iot3
3,16:51:52.515273,local::1::5,iot3
4,16:51:53.516398,fog::1::5,iot3
5,16:51:54.517589,fog::1::5,iot3
6,16:51:55.518650,fog::1::5,iot3
7,16:51:56.519723,fog::1::5,iot3
8,16:51:57.520844,local::1::5,iot3
9,16:51:58.521951,fog::1::5,iot3
10,16:51:59.523072,local::1::5,iot3
11,16:52:00.524325,fog::1::5,iot3
12,16:52:01.524935,fog::1::5,iot3
13,16:52:02.526079,fog::1::5,iot3
14,16:52:03.527330,fog::1::5,iot3
15,16:52:04.528434,fog::1::5,iot3
16,16:52:05.529501,fog::1::5,iot3
17,16:52:06.530585,fog::1::5,iot3
18,16:52:07.531716,local::1::5,iot3
19,16:52:08.533030,fog::1::5,iot3
20,16:52:09.534116,fog::1::5,iot3
21,16:52:10.535200,fog::1::5,iot3
22,16:52:11.536313,fog::1::5,iot3
23,16:52:12.536998,fog::1::5,iot3
24,16:52:13.537421,fog::1::5,iot3
25,16:52:14.538502,fog::1::5,iot3
26,16:52:15.539585,fog::1::5,iot3
27,16:52:16.540753,fog::1::5,iot3
28,16:52:17.541217,local::1::5,iot3
29,16:52:18.542432,fog::1::5,iot3
30,16:52:19.541765,local::1::5,iot3
31,16:52:20.543427,fog::1::5,iot3
32,16:52:21.543822,fog::1::5,iot3
33,16:52:22.544982,fog::1::5,iot3
34,16:52:23.546105,local::1::5,iot3
35,16:52:24.547227,fog::1::5,iot3
36,16:52:25.548362,local::1::5,iot3
37,16:52:26.549547,fog::1::5,iot3
38,16:52:27.550771,local::1::5,iot3
39,16:52:28.551891,fog::1::5,iot3
40,16:52:29.552928,fog::1::5,iot3
41,16:52:30.553965,fog::1::5,iot3
42,16:52:31.555041,fog::1::5,iot3
43,16:52:32.555726,fog::1::5,iot3
44,16:52:33.556858,fog::1::5,iot3
45,16:52:34.558063,local::1::5,iot3
46,16:52:35.559482,fog::1::5,iot3
47,16:52:36.560638,fog::1::5,iot3
48,16:52:37.561754,fog::1::5,iot3
49,16:52:38.562951,local::1::5,iot3
0,16:51:49.512549,fog::1::5,iot5
