3002,16:51:52.182082,16:51:52.182117,1000
3003,16:51:53.183331,16:51:53.183362,1000
3008,16:51:58.188837,16:51:58.188870,1000
3010,16:52:00.191308,16:52:00.191339,1000
3018,16:52:08.199964,16:52:08.200009,1000
3028,16:52:18.209622,16:52:18.209655,1000
3030,16:52:20.210398,16:52:20.210437,1000
3034,16:52:24.214080,16:52:24.214112,1000
3036,16:52:26.216754,16:52:26.216784,1000
3038,16:52:28.219177,16:52:28.219210,1000
3045,16:52:35.226361,16:52:35.226383,1000
3049,16:52:39.231197,16:52:39.231229,1000
