iot3,1,16:51:49.597333,99915.0
iot3,2,16:51:50.585120,99843.0
iot3,3,16:51:51.514085,99643.0
iot3,4,16:51:52.515336,99443.0
iot3,5,16:51:53.582618,99377.0
iot3,6,16:51:54.607820,99287.0
iot3,7,16:51:55.607926,99198.0
iot3,8,16:51:56.598968,99119.0
iot3,9,16:51:57.520893,98919.0
iot3,10,16:51:58.610112,98831.0
iot3,11,16:51:59.523118,98631.0
iot3,12,16:52:00.637491,98518.0
iot3,13,16:52:01.624144,98419.0
iot3,14,16:52:02.587460,98358.0
iot3,15,16:52:03.594579,98291.0
iot3,16,16:52:04.625654,98194.0
iot3,17,16:52:05.604806,98119.0
iot3,18,16:52:06.623875,98026.0
iot3,19,16:52:07.531779,97826.0
iot3,20,16:52:08.646260,97713.0
iot3,21,16:52:09.615282,97632.0
iot3,22,16:52:10.605659,97562.0
iot3,23,16:52:11.591721,97507.0
iot3,24,16:52:12.596343,97448.0
iot3,25,16:52:13.623607,97362.0
iot3,26,16:52:14.633752,97267.0
iot3,27,16:52:15.607927,97199.0
iot3,28,16:52:16.604063,97136.0
iot3,29,16:52:17.541274,96936.0
iot3,30,16:52:18.636623,96842.0
iot3,31,16:52:19.541816,96642.0
iot3,32,16:52:20.637409,96550.0
iot3,33,16:52:21.636991,96457.0
iot3,34,16:52:22.644195,96358.0
iot3,35,16:52:23.546163,96158.0
iot3,36,16:52:24.608426,96097.0
iot3,37,16:52:25.548419,95897.0
iot3,38,16:52:26.606764,95840.0
iot3,39,16:52:27.550827,95640.0
iot3,40,16:52:28.617123,95575.0
iot3,41,16:52:29.641316,95487.0
iot3,42,16:52:30.632231,95409.0
iot3,43,16:52:31.606325,95358.0
iot3,44,16:52:32.607104,95307.0
iot3,45,16:52:33.612067,95252.0
iot3,46,16:52:34.558123,95052.0
iot3,47,16:52:35.634818,94977.0
iot3,48,16:52:36.611848,94926.0
iot3,49,16:52:37.639089,94849.0
iot3,50,16:52:38.563016,94649.0
