4000,16:51:49.481307,iot4
4001,16:51:50.482467,iot4
4002,16:51:51.483581,iot4
4003,16:51:52.484820,iot4
4004,16:51:53.485972,iot4
4005,16:51:54.487065,iot4
4006,16:51:55.488254,iot4
4007,16:51:56.489603,iot4
4008,16:51:57.490775,iot4
4009,16:51:58.491848,iot4
4010,16:51:59.492880,iot4
4011,16:52:00.494045,iot4
4012,16:52:01.495277,iot4
4013,16:52:02.496418,iot4
4014,16:52:03.497564,iot4
4015,16:52:04.498746,iot4
4016,16:52:05.499996,iot4
4017,16:52:06.501036,iot4
4018,16:52:07.502373,iot4
4019,16:52:08.503284,iot4
4020,16:52:09.504399,iot4
4021,16:52:10.505550,iot4
4022,16:52:11.506692,iot4
4023,16:52:12.507849,iot4
4024,16:52:13.508959,iot4
4025,16:52:14.510135,iot4
4026,16:52:15.511258,iot4
4027,16:52:16.512412,iot4
4028,16:52:17.513668,iot4
4029,16:52:18.514869,iot4
4030,16:52:19.514842,iot4
4031,16:52:20.516062,iot4
4032,16:52:21.517247,iot4
4033,16:52:22.518421,iot4
4034,16:52:23.519598,iot4
4035,16:52:24.520718,iot4
4036,16:52:25.521874,iot4
4037,16:52:26.523036,iot4
4038,16:52:27.524245,iot4
4039,16:52:28.525453,iot4
4040,16:52:29.526927,iot4
4041,16:52:30.528149,iot4
4042,16:52:31.529311,iot4
4043,16:52:32.530574,iot4
4044,16:52:33.531794,iot4
4045,16:52:34.532962,iot4
4046,16:52:35.534237,iot4
4047,16:52:36.535299,iot4
4048,16:52:37.536417,iot4
4049,16:52:38.537600,iot4
3000,16:51:49.511936,iot3
3001,16:51:50.512843,iot3
3002,16:51:51.513922,iot3
3003,16:51:52.515140,iot3
3004,16:51:53.516292,iot3
3005,16:51:54.517494,iot3
3006,16:51:55.518552,iot3
3007,16:51:56.519606,iot3
3008,16:51:57.520723,iot3
3009,16:51:58.521848,iot3
3010,16:51:59.522958,iot3
3011,16:52:00.524231,iot3
3012,16:52:01.524833,iot3
3013,16:52:02.525989,iot3
3014,16:52:03.527233,iot3
3015,16:52:04.528338,iot3
3016,16:52:05.529408,iot3
3017,16:52:06.530485,iot3
3018,16:52:07.531596,iot3
3019,16:52:08.532934,iot3
3020,16:52:09.534023,iot3
3021,16:52:10.535104,iot3
3022,16:52:11.536213,iot3
3023,16:52:12.536898,iot3
3024,16:52:13.537312,iot3
3025,16:52:14.538404,iot3
3026,16:52:15.539480,iot3
3027,16:52:16.540610,iot3
3028,16:52:17.541099,iot3
3029,16:52:18.542334,iot3
3030,16:52:19.541646,iot3
3031,16:52:20.543325,iot3
3032,16:52:21.543718,iot3
3033,16:52:22.544887,iot3
3034,16:52:23.545986,iot3
3035,16:52:24.547137,iot3
3036,16:52:25.548241,iot3
3037,16:52:26.549434,iot3
3038,16:52:27.550653,iot3
3039,16:52:28.551800,iot3
3040,16:52:29.552822,iot3
3041,16:52:30.553868,iot3
3042,16:52:31.554940,iot3
3043,16:52:32.555626,iot3
3044,16:52:33.556766,iot3
3045,16:52:34.557953,iot3
3046,16:52:35.559391,iot3
3047,16:52:36.560550,iot3
3048,16:52:37.561662,iot3
3049,16:52:38.562840,iot3
6000,16:51:49.514755,iot6
6001,16:51:50.515865,iot6
6002,16:51:51.516717,iot6
6003,16:51:52.516857,iot6
6004,16:51:53.518001,iot6
6005,16:51:54.519077,iot6
6006,16:51:55.520171,iot6
6007,16:51:56.521301,iot6
6008,16:51:57.522297,iot6
6009,16:51:58.523376,iot6
6010,16:51:59.523602,iot6
6011,16:52:00.524346,iot6
6012,16:52:01.524857,iot6
6013,16:52:02.526115,iot6
6014,16:52:03.527272,iot6
6015,16:52:04.528366,iot6
6016,16:52:05.529531,iot6
6017,16:52:06.530684,iot6
