5000,16:51:49.580384,16:51:49.580422,1000
9000,16:51:49.647940,16:51:49.647978,1000
6000,16:51:49.715601,16:51:49.715640,1000
8000,16:51:49.783403,16:51:49.783440,1000
3000,16:51:49.851091,16:51:49.851132,1000
2000,16:51:49.918765,16:51:49.918800,1000
4001,16:51:50.550300,16:51:50.550327,1000
5001,16:51:50.617740,16:51:50.617770,1000
9001,16:51:50.685287,16:51:50.685322,1000
6001,16:51:50.752771,16:51:50.752804,1000
3001,16:51:50.820365,16:51:50.820403,1000
1001,16:51:50.888156,16:51:50.888194,1000
10001,16:51:50.955658,16:51:50.955691,1000
2001,16:51:51.023108,16:51:51.023143,1000
8001,16:51:51.090913,16:51:51.090941,1000
7001,16:51:51.158458,16:51:51.158481,1000
8002,16:51:51.660670,16:51:51.660700,1000
7002,16:51:51.731617,16:51:51.731652,1000
4003,16:51:52.552771,16:51:52.552792,1000
5003,16:51:52.620405,16:51:52.620442,1000
9003,16:51:52.687956,16:51:52.687991,1000
6003,16:51:52.755526,16:51:52.755564,1000
2003,16:51:52.823577,16:51:52.823612,1000
1003,16:51:52.891680,16:51:52.891713,1000
8003,16:51:52.959710,16:51:52.959742,1000
7003,16:51:53.027200,16:51:53.027237,1000
10003,16:51:53.094765,16:51:53.094797,1000
4004,16:51:53.553864,16:51:53.553893,1000
5004,16:51:53.621269,16:51:53.621282,1000
9004,16:51:53.688930,16:51:53.688964,1000
3004,16:51:53.756687,16:51:53.756725,1000
6004,16:51:53.824380,16:51:53.824416,1000
1004,16:51:53.892448,16:51:53.892483,1000
2004,16:51:53.960037,16:51:53.960071,1000
7004,16:51:54.028141,16:51:54.028180,1000
8004,16:51:54.095759,16:51:54.095796,1000
10004,16:51:54.163284,16:51:54.163319,1000
4005,16:51:54.554958,16:51:54.554979,1000
5005,16:51:54.622685,16:51:54.622709,1000
9005,16:51:54.690175,16:51:54.690210,1000
6005,16:51:54.757706,16:51:54.757738,1000
1005,16:51:54.825583,16:51:54.825622,1000
3005,16:51:54.893249,16:51:54.893284,1000
8005,16:51:54.961004,16:51:54.961038,1000
7005,16:51:55.028797,16:51:55.028833,1000
2005,16:51:55.096255,16:51:55.096289,1000
10005,16:51:55.164091,16:51:55.164127,1000
5006,16:51:55.586772,16:51:55.586808,1000
9006,16:51:55.654148,16:51:55.654173,1000
2006,16:51:55.721936,16:51:55.721967,1000
3006,16:51:55.789567,16:51:55.789603,1000
1006,16:51:55.857127,16:51:55.857170,1000
8006,16:51:55.924884,16:51:55.924921,1000
7006,16:51:55.992441,16:51:55.992477,1000
10006,16:51:56.059799,16:51:56.059826,1000
4007,16:51:56.557337,16:51:56.557367,1000
5007,16:51:56.624680,16:51:56.624699,1000
3007,16:51:56.691967,16:51:56.691994,1000
8007,16:51:56.759405,16:51:56.759442,1000
1007,16:51:56.827182,16:51:56.827220,1000
2007,16:51:56.894690,16:51:56.894727,1000
6007,16:51:56.962233,16:51:56.962269,1000
10007,16:51:57.029817,16:51:57.029852,1000
