iot4,16:51:49.481256,0
iot4,16:51:49.481420,5
iot4,16:51:49.484962,4
iot4,16:51:50.551684,0
iot4,16:51:51.483713,5
iot4,16:51:51.487114,4
iot4,16:51:52.576881,0
iot4,16:51:53.565903,0
iot4,16:51:54.547451,0
iot4,16:51:55.488402,5
iot4,16:51:55.492390,4
iot4,16:51:56.550400,0
iot4,16:51:57.566541,0
iot4,16:51:58.591134,0
iot4,16:51:59.584804,0
iot4,16:52:00.494168,5
iot4,16:52:00.497814,4
iot4,16:52:01.495403,5
iot4,16:52:01.498983,4
iot4,16:52:02.600830,0
iot4,16:52:03.569079,0
iot4,16:52:04.498868,5
iot4,16:52:04.502278,4
iot4,16:52:05.562420,0
iot4,16:52:06.501157,5
iot4,16:52:06.504386,4
iot4,16:52:07.594677,0
iot4,16:52:08.581006,0
iot4,16:52:09.599518,0
iot4,16:52:10.505676,5
iot4,16:52:10.509619,4
iot4,16:52:11.607540,0
iot4,16:52:12.591765,0
iot4,16:52:13.606668,0
iot4,16:52:14.567429,0
iot4,16:52:15.511388,5
iot4,16:52:15.515321,4
iot4,16:52:16.597339,0
iot4,16:52:17.580971,0
iot4,16:52:18.573384,0
iot4,16:52:19.615891,0
iot4,16:52:20.516188,5
iot4,16:52:20.519717,4
iot4,16:52:21.605183,0
iot4,16:52:22.518545,5
iot4,16:52:22.522845,4
iot4,16:52:23.611245,0
iot4,16:52:24.520842,5
iot4,16:52:24.524274,4
iot4,16:52:25.609473,0
iot4,16:52:26.600799,0
iot4,16:52:27.582777,0
iot4,16:52:28.584114,0
iot4,16:52:29.608433,0
iot4,16:52:30.528272,5
iot4,16:52:30.531903,4
iot4,16:52:31.644862,0
iot4,16:52:32.530755,5
iot4,16:52:32.534277,4
iot4,16:52:33.643270,0
iot4,16:52:34.533085,5
iot4,16:52:34.537200,4
iot4,16:52:35.656020,0
iot4,16:52:36.604319,0
iot4,16:52:37.536543,5
iot4,16:52:37.540001,4
iot4,16:52:38.537730,5
iot4,16:52:38.541246,4
iot3,16:51:49.511892,0
iot3,16:51:49.600976,0
iot3,16:51:50.588411,0
iot3,16:51:51.514045,5
iot3,16:51:51.517472,4
iot3,16:51:52.515279,5
iot3,16:51:52.519008,4
iot3,16:51:53.586124,0
iot3,16:51:54.610907,0
iot3,16:51:55.611152,0
iot3,16:51:56.602406,0
iot3,16:51:57.520849,5
iot3,16:51:57.525205,4
iot3,16:51:58.613169,0
iot3,16:51:59.523076,5
iot3,16:51:59.526738,4
iot3,16:52:00.640330,0
iot3,16:52:01.627259,0
