sv_uav,sv_workload_mbit,runs,tmax_model_s,tmax_emulated_mean_s,tmax_emulated_std_s,tmax_emulated_min_s,tmax_emulated_max_s,error_mean_pct
1,1.5,10,1.47,1.4774105072021484,0.0011634365545578258,1.4758615493774414,1.4793179035186768,0.5041161362005758
2,2.0,10,1.38,1.3870742559432983,0.0012099369136735856,1.3846721649169922,1.3886895179748535,0.5126272422680034
3,2.5,10,1.425,1.4340799570083618,0.002510984177562264,1.4291892051696777,1.4371767044067383,0.6371899654990717
4,2.0,10,1.38,1.3869006156921386,0.0015152759889018575,1.3855490684509277,1.3898539543151855,0.5000446153723753
